AccountID,ClientID,AccountType,Currency,Balance,Equity,Leverage
ec170421-2eed-4021-957c-a7efd05f8db8,d07bdb31-0272-4ae4-b5a3-ee4787167ca5,Real,EUR,1949.57,2269.97,25
b3de1345-a126-4066-aa57-2f6360c86069,d07bdb31-0272-4ae4-b5a3-ee4787167ca5,Real,USD,1508.58,1232.16,50
0a1707b4-f227-49e5-8bbd-6cfc71dcdf8f,d07bdb31-0272-4ae4-b5a3-ee4787167ca5,Demo,USD,1280.89,1526.02,25
330d80c6-6cf8-494b-874a-66f743039d7f,19448aec-8fb9-4c05-b999-a4f812cf0eef,Real,GBP,14616.93,11729.71,100
91872e50-852a-41ce-990c-3833b3e20733,6530b0fe-d5d2-4ace-9b1a-9964319da4c3,Real,USD,49451.4,53583.23,100
e6b19820-7e5e-4bd8-a372-da239c79c2f0,50a229ba-f282-4c9c-b140-9615f8354310,Real,EUR,8556.17,7186.81,50
afff3b40-6026-4503-8a10-d3944100fa6c,50a229ba-f282-4c9c-b140-9615f8354310,Real,USD,37976.84,36980.83,50
d79203b6-e427-431c-85e4-0454c8b7227f,50a229ba-f282-4c9c-b140-9615f8354310,Real,AUD,1907.49,2255.38,10
b0fe7a3f-4d55-496d-aeb3-9f5e8acf7a24,fbd28f96-785f-4988-875d-41281786aae3,Real,USD,4600.91,4671.53,100
c9c7b03f-1a7b-4315-815b-c78d8fe0a0b7,fbd28f96-785f-4988-875d-41281786aae3,Real,USD,3965.28,4165.66,200
e35db9b7-6bc5-4018-99c9-1143791835b8,2067b7ef-b1b0-4de1-8b5c-817391385ff9,Real,USD,30062.37,35726.42,50
79a77a7f-8fa3-4044-8f5e-7ef7c9e8ff45,2067b7ef-b1b0-4de1-8b5c-817391385ff9,Demo,USD,16816.7,14673.84,50
004d1922-456e-4c9c-9169-9b22fcf253e4,c5082e91-2143-4084-a6ea-33a604db383c,Demo,USD,7465.84,6923.44,100
e3467c51-47aa-456d-9a63-7d062a3beaa9,c5082e91-2143-4084-a6ea-33a604db383c,Real,USD,10476.89,10307.47,100
1fba79f9-1ee8-4c46-b4e3-759dcdc9cc63,c5082e91-2143-4084-a6ea-33a604db383c,Demo,USD,6124.15,5777.1,25
2ca7e6dd-0981-40b0-aa09-0cd2de1dd086,34eaed74-4fc7-446d-a7c0-44f97c785293,Real,GBP,8042.44,6860.04,25
4e96ba71-c30f-44d9-b8df-48c9ba79b7b6,34eaed74-4fc7-446d-a7c0-44f97c785293,Real,USD,51959.89,60334.54,25
3d2694ea-80f1-47d9-a303-37ce80432815,34eaed74-4fc7-446d-a7c0-44f97c785293,Real,EUR,7991.25,6516.87,100
72ac3566-a8ce-4575-9dd3-198f6fe7d749,bc981513-88dd-4844-8caa-10db841a8818,Real,USD,1754.7,2095.41,50
f41603ac-f747-4a90-91d7-5588b9cc49e1,624d4372-4c7d-4d19-b034-f44cf378a620,Real,USD,6536.56,5243.27,50
96401aed-479d-4b17-ba37-bf8d5423d2fe,624d4372-4c7d-4d19-b034-f44cf378a620,Real,EUR,29101.39,33071.87,25
00444c8c-93ba-4422-a5f8-d17989ad18a8,b428869e-0455-4436-a404-e64a1bfb795f,Real,USD,1822.59,1996.94,50
53f4c297-b3b9-4b59-a491-cf06efebba4c,8fddffe3-2839-4259-94ec-23f6dd91d274,Real,AUD,9906.79,10386.57,50
1a174552-fafe-4aa2-a64d-91841a348aa4,8fddffe3-2839-4259-94ec-23f6dd91d274,Real,AUD,3028.49,3113.57,1
3f5729e8-5ded-44e3-a5a9-4e156592d608,8fddffe3-2839-4259-94ec-23f6dd91d274,Real,USD,5278.77,6016.86,50
9dc0cdf6-5063-48c9-a713-6a234829b2a9,bda8ced6-6dba-4733-b3bb-dabec5078543,Real,EUR,6191.22,6087.58,100
1ddfa414-a397-4574-bfcb-a7574254a3ce,de8f65eb-d5cf-42e8-907c-e27526abff4d,Real,USD,6958.44,6249.0,25
15b2ff12-4b4b-428d-b27f-b8d54acd8700,de8f65eb-d5cf-42e8-907c-e27526abff4d,Real,EUR,3391.92,3320.99,200
